Player,Team,Goals against,Goals against per match,Shots against,Saves,Save %,Clean sheets,Clean sheets per match,Penalties saved
Alisson,Liverpool,7,1.17,16,9,56.3,2,33.3,0
Alphonse Areola,West Ham,3,1.50,9,6,66.7,0,0.0,0
Altay Bayındır,Manchester Utd,11,1.83,24,13,54.2,0,0.0,0
Marco Bizot,Aston Villa,3,1.50,7,4,71.4,1,50.0,0
Karl Darlow,Leeds United,4,1.33,14,11,71.4,0,0.0,0
Gianluigi Donnarumma,Manchester City,2,0.67,7,5,71.4,1,33.3,0
Martin Dúbravka,Burnley,13,2.17,33,23,66.7,1,16.7,0
Dean Henderson,Crystal Palace,3,0.50,14,11,78.6,3,50.0,0
Mads Hermansen,West Ham,11,2.75,20,9,45.0,1,25.0,0
Sam Johnstone,Wolves,2,1.00,7,5,71.4,0,0.0,0
Filip Jørgensen,Chelsea,2,2.14,3,1,33.3,0,,0
Caoimhín Kelleher,Brentford,11,1.83,25,14,60.0,1,16.7,1
Bernd Leno,Fulham,8,1.33,23,16,73.9,1,16.7,0
Emiliano Martínez,Aston Villa,3,0.75,11,8,72.7,1,25.0,0
Lucas Perri,Leeds United,5,1.67,8,3,50.0,2,66.7,0
Đorđe Petrović,Bournemouth,7,1.17,23,16,69.6,3,50.0,0
Jordan Pickford,Everton,6,1.00,18,11,72.2,2,33.3,1
Nick Pope,Newcastle Utd,5,0.83,20,15,75.0,4,66.7,0
David Raya,Arsenal,3,0.50,18,15,83.3,3,50.0,0
Robin Roefs,Sunderland,4,0.67,23,18,82.6,3,50.0,1
José Sá,Wolves,11,2.75,16,5,31.3,0,0.0,0
Robert Sánchez,Chelsea,6,1.19,17,11,64.7,2,33.3,0
Matz Sels,Nott'ham Forest,10,1.67,28,18,71.4,0,0.0,0
James Trafford,Manchester City,4,1.33,15,11,80.0,1,33.3,0
Bart Verbruggen,Brighton,9,1.50,19,11,57.9,0,0.0,0
Guglielmo Vicario,Tottenham,4,0.67,25,21,84.0,3,50.0,0
