Player,Team,Passes completed,Passes completed %,Assists,Expected assists,Key passes
Brenden Aaronson,Leeds United,192,78.7,2,1.5,12
Zach Abbott,Nott'ham Forest,17,65.4,0,0.0,0
Joshua Acheampong,Chelsea,273,92.2,0,0.0,0
Tyler Adams,Bournemouth,605,87.1,1,0.3,2
Tosin Adarabioyo,Chelsea,523,90.3,0,0.2,0
Simon Adingra,Sunderland,59,67.0,0,0.3,5
Amine Adli,Bournemouth,116,73.0,0,0.2,5
Emmanuel Agbadou,Wolves,510,80.6,0,0.3,3
Nayef Aguerd,West Ham,106,89.1,0,0.0,0
Ola Aina,Nott'ham Forest,125,79.6,0,0.3,2
Rayan Aït-Nouri,Manchester City,111,87.4,0,0.5,3
Kristoffer Ajer,Brentford,151,70.9,1,0.5,2
Nathan Aké,Manchester City,162,89.5,0,0.2,1
Carlos Alcaraz,Everton,179,78.5,1,0.4,8
Omar Alderete,Sunderland,411,83.4,1,0.6,3
Alisson,Liverpool,339,81.7,0,0.0,0
Ethan Ampadu,Leeds United,640,82.2,0,0.5,5
Joachim Andersen,Fulham,932,85.8,0,1.2,4
Elliot Anderson,Nott'ham Forest,967,82.6,1,1.8,26
André,Wolves,525,89.6,0,0.4,6
Jaidon Anthony,Burnley,237,70.7,1,1.2,14
Alphonse Areola,West Ham,208,53.7,1,0.0,1
Jhon Arias,Wolves,254,84.4,0,0.4,9
Harrison Armstrong,Everton,0,,0,0.0,0
Tolu Arokodare,Wolves,34,53.1,0,0.1,2
Taiwo Awoniyi,Nott'ham Forest,20,80.0,0,0.0,2
Yasin Ayari,Brighton,509,84.3,0,0.6,9
Benoît Badiashile,Chelsea,139,93.9,0,0.0,0
Dilane Bakwa,Nott'ham Forest,72,75.0,0,0.3,5
Carlos Baleba,Brighton,319,85.3,0,0.2,3
Daniel Ballard,Sunderland,401,80.7,0,0.4,6
Ross Barkley,Aston Villa,44,86.3,0,0.2,2
Ashley Barnes,Burnley,1,20.0,0,0.0,0
Harvey Barnes,Newcastle Utd,159,73.6,0,1.5,10
Thierno Barry,Everton,85,59.4,0,0.1,4
Calvin Bassey,Fulham,839,87.7,0,0.2,4
Altay Bayındır,Manchester Utd,122,63.5,0,0.0,1
Jean-Ricner Bellegarde,Wolves,199,75.1,0,0.6,4
Rodrigo Bentancur,Tottenham,432,85.2,1,0.6,8
Sander Berge,Fulham,692,89.6,0,0.8,12
Lucas Bergvall,Tottenham,176,74.9,2,0.3,3
Beto,Everton,58,61.7,0,0.1,3
Jaka Bijol,Leeds United,309,89.0,0,0.0,1
Marco Bizot,Aston Villa,128,79.0,0,0.0,0
Oscar Bobb,Manchester City,195,89.4,1,1.2,10
Lamare Bogarde,Aston Villa,168,92.8,0,0.1,2
Jayden Bogle,Leeds United,414,72.9,1,0.9,7
Sebastiaan Bornauw,Leeds United,3,75.0,0,0.0,0
Olivier Boscagli,Brighton,59,84.3,0,0.1,0
Sven Botman,Newcastle Utd,349,86.6,0,0.3,4
Jarrod Bowen,West Ham,249,67.5,1,1.4,12
Conor Bradley,Liverpool,327,84.1,0,0.7,3
Brian Brobbey,Sunderland,32,65.3,1,0.1,1
Armando Broja,Burnley,31,60.8,0,0.0,1
David Brooks,Bournemouth,213,70.1,1,1.8,10
Jacob Bruun Larsen,Burnley,179,74.9,1,1.0,9
Emi Buendía,Aston Villa,174,77.0,2,0.9,13
Hugo Bueno,Wolves,347,77.3,0,1.2,14
Santiago Bueno,Wolves,306,87.9,0,0.5,3
Facundo Buonanotte,Chelsea,20,90.9,0,0.1,2
Dan Burn,Newcastle Utd,518,75.2,2,0.3,5
Bradley Burrowes,Aston Villa,3,37.5,0,0.0,0
Sam Byram,Leeds United,1,100.0,0,0.0,0
Moisés Caicedo,Chelsea,592,90.5,1,0.7,6
Tom Cairney,Fulham,133,91.1,0,0.2,2
Riccardo Calafiori,Arsenal,504,80.5,2,0.3,4
Dominic Calvert-Lewin,Leeds United,92,61.3,0,0.6,10
Jaydee Canvot,Crystal Palace,53,88.3,0,0.1,0
Fabio Carvalho,Brentford,21,67.7,0,0.0,0
Casemiro,Manchester Utd,475,80.4,1,0.6,9
Matty Cash,Aston Villa,629,77.3,1,1.4,14
Timothy Castagne,Fulham,229,82.1,0,0.2,4
Trevoh Chalobah,Chelsea,999,92.0,0,0.7,3
Rayan Cherki,Manchester City,307,83.4,6,2.6,18
Federico Chiesa,Liverpool,46,63.9,1,0.4,2
Tawanda Chirewa,Wolves,1,100.0,0,0.0,0
Ryan Christie,Bournemouth,138,75.4,0,0.2,2
Samuel Chukwueze,Fulham,128,71.9,4,2.2,11
Nathaniel Clyne,Crystal Palace,33,67.3,0,0.0,1
Séamus Coleman,Everton,4,80.0,0,0.0,0
Nathan Collins,Brentford,618,81.7,0,0.7,5
Lewis Cook,Bournemouth,168,81.6,0,0.1,6
Diego Coppola,Brighton,5,100.0,0,0.0,0
Marc Cucurella,Chelsea,764,87.3,2,2.0,20
Jorge Cuenca,Fulham,74,87.1,0,0.0,0
Josh Cullen,Burnley,680,83.2,2,1.3,12
Jair Cunha,Nott'ham Forest,38,77.6,0,0.0,0
Matheus Cunha,Manchester Utd,261,79.1,1,1.4,15
Diogo Dalot,Manchester Utd,388,75.8,2,1.3,15
Mikkel Damsgaard,Brentford,300,65.9,1,2.2,17
Kevin Danso,Tottenham,297,83.2,0,0.1,0
Karl Darlow,Leeds United,133,63.9,0,0.0,0
Ben Davies,Tottenham,16,84.2,0,0.0,0
Maxim De Cuyper,Brighton,315,79.5,0,1.7,15
Liam Delap,Chelsea,34,64.2,0,0.1,0
Sepp van den Berg,Brentford,612,88.8,0,0.2,2
Justin Devenny,Crystal Palace,50,65.8,0,0.2,2
Kiernan Dewsbury-Hall,Everton,405,76.0,2,2.8,20
