Player,Team,Goals,Shots,Shots on target,Shots on target %,Shots per match,Shots on target per match,Goal per shot,Fouls scored,Penalties scored,Expected goals
Brenden Aaronson,Leeds United,1,12,5,41.7,1.97,0.82,0.08,0,0,1.6
Joshua Acheampong,Chelsea,1,3,2,66.7,0.77,0.52,0.33,0,0,0.6
Tyler Adams,Bournemouth,0,6,4,66.7,0.69,0.46,0.00,0,0,0.1
Tosin Adarabioyo,Chelsea,0,1,0,0.0,0.24,0.00,0.00,0,0,0.0
Simon Adingra,Sunderland,0,1,0,0.0,0.33,0.00,0.00,0,0,0.1
Amine Adli,Bournemouth,0,2,2,100.0,0.95,0.95,0.00,1,0,0.1
Emmanuel Agbadou,Wolves,0,6,2,33.3,1.03,0.34,0.00,1,0,0.4
Nayef Aguerd,West Ham,0,2,0,0.0,1.00,0.00,0.00,0,0,0.1
Ola Aina,Nott'ham Forest,0,2,0,0.0,0.67,0.00,0.00,0,0,0.0
Rayan Aït-Nouri,Manchester City,0,2,0,0.0,0.89,0.00,0.00,0,0,0.0
Kristoffer Ajer,Brentford,0,6,1,16.7,1.81,0.30,0.00,0,0,0.4
Nathan Aké,Manchester City,0,3,0,0.0,1.32,0.00,0.00,0,0,0.3
Carlos Alcaraz,Everton,0,4,2,50.0,1.51,0.75,0.00,0,0,0.2
Omar Alderete,Sunderland,1,6,2,33.3,0.81,0.27,0.17,0,0,0.6
Alisson,Liverpool,0,0,0,,0.00,0.00,,0,0,0.0
Ethan Ampadu,Leeds United,0,4,0,0.0,0.59,0.00,0.00,0,0,0.4
Joachim Andersen,Fulham,0,3,0,0.0,0.40,0.00,0.00,0,0,0.4
Elliot Anderson,Nott'ham Forest,0,9,2,22.2,1.00,0.22,0.00,0,0,0.6
André,Wolves,0,2,0,0.0,0.30,0.00,0.00,0,0,0.0
Jaidon Anthony,Burnley,4,13,8,61.5,1.57,0.97,0.31,0,0,2.1
Alphonse Areola,West Ham,0,0,0,,0.00,0.00,,0,0,0.0
Jhon Arias,Wolves,0,10,2,20.0,1.79,0.36,0.00,3,0,1.0
Harrison Armstrong,Everton,0,0,0,,0.00,0.00,,0,0,0.0
Tolu Arokodare,Wolves,0,6,1,16.7,2.93,0.49,0.00,0,0,0.3
Taiwo Awoniyi,Nott'ham Forest,0,3,2,66.7,3.00,2.00,0.00,0,0,0.2
Yasin Ayari,Brighton,1,15,4,26.7,1.95,0.52,0.07,1,0,0.6
Benoît Badiashile,Chelsea,0,0,0,,0.00,0.00,,0,0,0.0
Dilane Bakwa,Nott'ham Forest,0,3,3,100.0,1.55,1.55,0.00,0,0,0.1
Carlos Baleba,Brighton,0,7,0,0.0,1.31,0.00,0.00,0,0,0.1
Daniel Ballard,Sunderland,1,9,4,44.4,2.01,0.90,0.11,0,0,0.6
Ross Barkley,Aston Villa,0,1,0,0.0,2.73,0.00,0.00,0,0,0.1
Ashley Barnes,Burnley,0,0,0,,0.00,0.00,,0,0,0.0
Harvey Barnes,Newcastle Utd,0,9,2,22.2,2.20,0.49,0.00,0,0,0.9
Thierno Barry,Everton,0,5,0,0.0,1.79,0.00,0.00,0,0,0.5
Calvin Bassey,Fulham,0,2,0,0.0,0.25,0.00,0.00,0,0,0.2
