Club,Possession against,Goals against (no OG),Non-penalty goals,Penalties against,Expected goals against,Goals permatch against,Expected goals per match against
vs Arsenal,40.9,10,10,0,9.6,0.62,0.6
vs Aston Villa,47.3,16,15,2,21.4,1.0,1.34
vs Bournemouth,48.3,28,26,2,22.8,1.75,1.42
vs Brentford,55.8,23,21,3,20.9,1.44,1.31
vs Brighton,48.5,21,19,3,21.2,1.31,1.32
vs Burnley,58.6,30,25,5,32.5,1.87,2.03
vs Chelsea,41.6,15,15,0,19.7,0.94,1.23
vs Crystal Palace,57.7,15,13,2,18.5,0.94,1.16
vs Everton,55.8,19,18,2,21.9,1.19,1.37
vs Fulham,49.1,24,22,3,21.8,1.5,1.36
vs Leeds United,54.1,29,27,2,22.2,1.81,1.39
vs Liverpool,39.6,24,22,3,19.6,1.5,1.23
vs Manchester City,42.8,16,15,2,17.6,1.0,1.1
vs Manchester Utd,46.0,26,25,1,21.7,1.62,1.36
vs Newcastle Utd,48.6,18,16,2,17.1,1.13,1.07
vs Nott'ham Forest,49.3,24,21,3,22.7,1.5,1.42
vs Sunderland,57.7,16,16,1,21.0,1.0,1.31
vs Tottenham,47.0,21,20,1,22.0,1.31,1.37
vs West Ham,57.4,31,29,2,25.8,1.94,1.61
vs Wolves,54.2,31,30,1,24.0,1.94,1.5
